id;name;type;birthdate;class;commands
1;Fido;Dog;2020-01-01;Pets;['Sit', 'Stay', 'Fetch']
2;Whiskers;Cat;2019-05-15;Pets;['Sit', 'Pounce']
3;Hammy;Hamster;2021-03-10;Pets;['Roll', 'Hide']
4;Buddy;Dog;2018-12-10;Pets;['Sit', 'Paw', 'Bark']
5;Smudge;Cat;2020-02-20;Pets;['Sit', 'Pounce', 'Scratch']
6;Peanut;Hamster;2021-08-01;Pets;['Roll', 'Spin']
7;Bella;Dog;2019-11-11;Pets;['Sit', 'Stay', 'Roll']
8;Oliver;Cat;2020-06-30;Pets;['Meow', 'Scratch', 'Jump']
9;Thunder;Horse;2015-07-21;Pack_animals;['Trot', 'Canter', 'Gallop']
10;Sandy;Camel;2016-11-03;Pack_animals;['Walk', 'Carry Load']
11;Eeyore;Donkey;2017-09-18;Pack_animals;['Walk', 'Carry Load', 'Bray']
12;Storm;Horse;2014-05-05;Pack_animals;['Trot', 'Canter']
13;Dune;Camel;2018-12-12;Pack_animals;['Walk', 'Sit']
14;Burro;Donkey;2019-01-23;Pack_animals;['Walk', 'Bray', 'Kick']
15;Blaze;Horse;2016-02-29;Pack_animals;['Trot', 'Jump', 'Gallop']
16;Sahara;Camel;2015-08-14;Pack_animals;['Walk', 'Run']
17;Joy;Donkey;2005-12-12;Pack_animals;['Sit', 'Stay', 'Ia']
18;Lui;Hamster;2024-02-05;Pets;['Scream']
19;Sharik;Dog;2018-02-06;Pets;[]
20;Dolly;Horse;1990-01-01;Pack_animals;['Fuck', 'Fool']
21;Dre;Hamster;2000-02-02;Pets;['Smoke ganja']
